A00;Cholera
L85;Sonstige Epidermisverdickung
L86;Keratom [sek.];Keratom bei anderenorts klassifizierten Krankheiten
L87;Störungen der transepidermalen Elimination
L88;Pyoderma gangraenosum
L89;Dekubitalgeschwür und Druckzone
L90;Atrophische Hautkrankheiten
L91;Hypertrophe Hautkrankheiten
L92;Granulomatöse Krankheiten der Haut und der Unterhaut
L93;Lupus erythematodes
L94;Sonstige lokalisierte Krankheiten des Bindegewebes
L95;Anderenorts nicht klassifizierte Vaskulitis, dermatolog.;Anderenorts nicht klassifizierte Vaskulitis, die auf die Haut begrenzt ist
L97;Ulcus cruris, anderenorts nicht klassifiziert
L98;Sonstige Krankheiten der Haut und der Unterhaut […];Sonstige Krankheiten der Haut und der Unterhaut, anderenorts nicht klassifiziert
L99;Sonstige Krankheiten der Haut und der Unterhaut [sek.];Sonstige Krankheiten der Haut und der Unterhaut bei anderenorts klassifizierten Krankheiten
M00;Eitrige Arthritis
M01;Direkte Gelenkinfektionen infekt./parasit. Genese;Direkte Gelenkinfektionen bei anderenorts klassifizierten infektiösen und parasitären Krankheiten
M02;Reaktive Arthritiden
M03;Postinfektiöse und reaktive Arthritiden [sek.];Postinfektiöse und reaktive Arthritiden bei anderenorts klassifizierten Krankheiten
M05;Seropositive chronische Polyarthritis
M06;Sonstige chronische Polyarthritis
M07;Arthritis psoriatica und Arthritiden bei GI Grundkrankh.;Arthritis psoriatica und Arthritiden bei gastrointestinalen Grundkrankheiten
M08;Juvenile Arthritis
M09;Juvenile Arthritis bei anderenorts klassifizierten Krankh.;Juvenile Arthritis bei anderenorts klassifizierten Krankheiten
M10;Gicht
M11;Sonstige Kristall-Arthropathien
M12;Sonstige näher bezeichnete Arthropathien
M13;Sonstige Arthritis
M14;Arthropathien bei sonst. anderenorts klassifiz. Krankh.;Arthropathien bei sonstigen anderenorts klassifizierten Krankheiten
M15;Polyarthrose
M16;Koxarthrose [Arthrose des Hüftgelenkes]
M17;Gonarthrose [Arthrose des Kniegelenkes]
M18;Rhizarthrose [Arthrose des Daumensattelgelenkes]
M19;Sonstige Arthrose
M20;Erworbene Deformitäten der Finger und Zehen
M21;Sonstige erworbene Deformitäten der Extremitäten
M22;Krankheiten der Patella
M23;Binnenschädigung des Kniegelenkes [internal derangement]
M24;Sonstige näher bezeichnete Gelenkschädigungen
M25;Sonst. Gelenkkrankheiten, anderenorts nicht klassifiziert;Sonstige Gelenkkrankheiten, anderenorts nicht klassifiziert
M30;Panarteriitis nodosa und verwandte Zustände
M31;Sonstige nekrotisierende Vaskulopathien
M32;Systemischer Lupus erythematodes
M33;Dermatomyositis-Polymyositis
M34;Systemische Sklerose
M35;Sonst. Krankheiten mit Systembeteiligung des Bindegewebes;Sonstige Krankheiten mit Systembeteiligung des Bindegewebes
M36;Systemkrankheiten des Bindegewebes [sek.];Systemkrankheiten des Bindegewebes bei anderenorts klassifizierten Krankheiten
M40;Kyphose und Lordose
M41;Skoliose
M42;Osteochondrose der Wirbelsäule
M43;Sonstige Deformitäten der Wirbelsäule und des Rückens
M45;Spondylitis ankylosans
M46;Sonstige entzündliche Spondylopathien
M47;Spondylose
M48;Sonstige Spondylopathien
M49;Spondylopathien bei anderenorts klassifizierten Krankh.;Spondylopathien bei anderenorts klassifizierten Krankheiten
M50;Zervikale Bandscheibenschäden
M51;Sonstige Bandscheibenschäden
M53;Sonstige Krankh. der Wirbelsäule und des Rückens […];Sonstige Krankheiten der Wirbelsäule und des Rückens, anderenorts nicht klassifiziert
M54;Rückenschmerzen
M60;Myositis
M61;Kalzifikation und Ossifikation von Muskeln
M62;Sonstige Muskelkrankheiten
M63;Muskelkrankheiten bei anderenorts klassifizierten Krankheiten
M65;Synovitis und Tenosynovitis
M66;Spontanruptur der Synovialis und von Sehnen
M67;Sonstige Krankheiten der Synovialis und der Sehnen
M68;Krankheiten der Synovialis und der Sehnen [sek.];Krankheiten der Synovialis und der Sehnen bei anderenorts klassifizierten Krankheiten
M70;Krankh. des Weichteilgew. durch Belastung, Überbel. & Druck;Krankheiten des Weichteilgewebes im Zusammenhang mit Beanspruchung, Überbeanspruchung und Druck
M71;Sonstige Bursopathien
M72;Fibromatosen
M73;Krankheiten des Weichteilgewebes [sek.];Krankheiten des Weichteilgewebes bei anderenorts klassifizierten Krankheiten
M75;Schulterläsionen
M76;Enthesopathien der unteren Extremität außer Fuß;Enthesopathien der unteren Extremität mit Ausnahme des Fußes
M77;Sonstige Enthesopathien
M79;Sonstige Krankheiten des Weichteilgewebes […];Sonstige Krankheiten des Weichteilgewebes, anderenorts nicht klassifiziert
M80;Osteoporose mit pathologischer Fraktur
M81;Osteoporose ohne pathologische Fraktur
M82;Osteoporose bei anderenorts klassifizierten Krankheiten
M83;Osteomalazie im Erwachsenenalter
M84;Veränderungen der Knochenkontinuität
M85;Sonstige Veränderungen der Knochendichte und -struktur
M86;Osteomyelitis
M87;Knochennekrose
M88;Osteodystrophia deformans [Paget-Krankheit]
M89;Sonstige Knochenkrankheiten
M90;Osteopathien bei anderenorts klassifizierten Krankheiten
M91;Juvenile Osteochondrose der Hüfte und des Beckens
M92;Sonstige juvenile Osteochondrosen
M93;Sonstige Osteochondropathien
M94;Sonstige Knorpelkrankheiten
M95;Sonst. erw. Deform. [Muskel-Skelett-Systems & Bindegewebe];Sonstige erworbene Deformitäten des Muskel-Skelett-Systems und des Bindegewebes
M96;Krankheiten des Muskel-Skelett-Systems iatrogen […];Krankheiten des Muskel-Skelett-Systems nach medizinischen Maßnahmen, anderenorts nicht klassifiziert
M99;Biomechanische Funktionsstörungen[…];Biomechanische Funktionsstörungen, anderenorts nicht klassifiziert
N00;Akutes nephritisches Syndrom
N01;Rapid-progressives nephritisches Syndrom
N02;Rezidivierende und persistierende Hämaturie
N03;Chronisches nephritisches Syndrom
N04;Nephrotisches Syndrom
N05;Nicht näher bezeichnetes nephritisches Syndrom
N06;Isolierte Proteinurie mit Angabe morpholog. Veränderungen;Isolierte Proteinurie mit Angabe morphologischer Veränderungen
N07;Hereditäre Nephropathie, anderenorts nicht klassifiziert
N08;Glomeruläre Krankheiten [sek.];Glomeruläre Krankheiten bei anderenorts klassifizierten Krankheiten
N10;Akute tubulointerstitielle Nephritis
N11;Chronische tubulointerstitielle Nephritis
N12;Tubulointerstitielle Nephritis, nicht akut/chronisch bez.;Tubulointerstitielle Nephritis, nicht als akut oder chronisch bezeichnet
N13;Obstruktive Uropathie und Refluxuropathie
N14;Medikament. & Schwermetallind. tubulointerst./tubul. Krankh.;Arzneimittel- und schwermetallinduzierte tubulointerstitielle und tubuläre Krankheitszustände
N15;Sonstige tubulointerstitielle Nierenkrankheiten
N16;Tubulointerstitielle Nierenkrankheiten [sek.];Tubulointerstitielle Nierenkrankheiten bei anderenorts klassifizierten Krankheiten
N17;Akutes Nierenversagen
N18;Chronische Nierenkrankheit
N19;Nicht näher bezeichnete Niereninsuffizienz
N20;Nieren- und Ureterstein
N21;Stein in den unteren Harnwegen
N22;Harnstein bei anderenorts klassifizierten Krankheiten
N23;Nicht näher bezeichnete Nierenkolik
N25;Krankh. infolge Schädigung der tubulären Nierenfunktion;Krankheiten infolge Schädigung der tubulären Nierenfunktion
N26;Schrumpfniere, nicht näher bezeichnet
N27;Kleine Niere unbekannter Ursache
N28;Sonst. Krankheiten der Niere und des Ureters […];Sonstige Krankheiten der Niere und des Ureters, anderenorts nicht klassifiziert
N29;Sonst. Krankheiten der Niere und des Ureters [sek.];Sonstige Krankheiten der Niere und des Ureters bei anderenorts klassifizierten Krankheiten
N30;Zystitis
N31;Neuromuskuläre Dysfunktion der Harnblase […];Neuromuskuläre Dysfunktion der Harnblase, anderenorts nicht klassifiziert
N32;Sonstige Krankheiten der Harnblase
N33;Krankheiten der Harnblase [sek.];Krankheiten der Harnblase bei anderenorts klassifizierten Krankheiten
N34;Urethritis und urethrales Syndrom
N35;Harnröhrenstriktur
N36;Sonstige Krankheiten der Harnröhre
N37;Krankheiten der Harnröhre [sek.];Krankheiten der Harnröhre bei anderenorts klassifizierten Krankheiten
N39;Sonstige Krankheiten des Harnsystems
N40;Prostatahyperplasie
N41;Entzündliche Krankheiten der Prostata
N42;Sonstige Krankheiten der Prostata
N43;Hydrozele und Spermatozele
N44;Hodentorsion und Hydatidentorsion
N45;Orchitis und Epididymitis
N46;Sterilität beim Mann
N47;Vorhauthypertrophie, Phimose und Paraphimose
N48;Sonstige Krankheiten des Penis
N49;Entzündl. Krankh. der männl. Genitalorgane […];Entzündliche Krankheiten der männlichen Genitalorgane, anderenorts nicht klassifiziert
N50;Sonstige Krankheiten der männlichen Genitalorgane
N51;Krankheiten der männlichen Genitalorgane [sek.];Krankheiten der männlichen Genitalorgane bei anderenorts klassifizierten Krankheiten
N60;Gutartige Mammadysplasie [Brustdrüsendysplasie]
N61;Entzündliche Krankheiten der Mamma [Brustdrüse]
N62;Hypertrophie der Mamma [Brustdrüse]
N63;Nicht näher bezeichnete Knoten in der Mamma [Brustdrüse]
N64;Sonstige Krankheiten der Mamma [Brustdrüse]
N70;Salpingitis und Oophoritis
N71;Entzündliche Krankheit des Uterus, ausgenommen der Zervix
N72;Entzündliche Krankheit der Cervix uteri
N73;Sonstige entzündliche Krankheiten im weiblichen Becken
N74;Entzündung im weiblichen Becken [sek.];Entzündung im weiblichen Becken bei anderenorts klassifizierten Krankheiten
N75;Krankheiten der Bartholin-Drüsen
N76;Sonstige entzündliche Krankheit der Vagina und Vulva
N77;Vulvovaginale Ulzeration und Entzündung [sek.];Vulvovaginale Ulzeration und Entzündung bei anderenorts klassifizierten Krankheiten
N80;Endometriose
N81;Genitalprolaps bei der Frau
N82;Fisteln mit Beteiligung des weiblichen Genitaltraktes
N83;Nichtentzündl. Krankh. Ovar/Eileiter/Lig. latum uteri;Nichtentzündliche Krankheiten des Ovars, der Tuba uterina und des Lig. latum uteri
N84;Polyp des weiblichen Genitaltraktes
N85;Sonstige nichtentzündl. Krankheiten des Uterus, außer Zervix;Sonstige nichtentzündliche Krankheiten des Uterus, ausgenommen der Zervix
N86;Erosion und Ektropium der Cervix uteri
N87;Dysplasie der Cervix uteri
N88;Sonstige nichtentzündliche Krankheiten der Cervix uteri
N89;Sonstige nichtentzündliche Krankheiten der Vagina
N90;Sonstige nichtentzündl. Krankh. der Vulva und des Perineums;Sonstige nichtentzündliche Krankheiten der Vulva und des Perineums
N91;Ausgebliebene, zu schwache oder zu seltene Menstruation
N92;Zu starke, zu häufige oder unregelmäßige Menstruation
N93;Sonstige abnorme Uterus- oder Vaginalblutung
N94;Schmerz & andere Zustände d. weibl. Genitalien/Mens.zykl.;Schmerz und andere Zustände im Zusammenhang mit den weiblichen Genitalorganen und dem Menstruationszyklus
N95;Klimakterische Störungen
N96;Neigung zu habituellem Abort
N97;Sterilität der Frau
N98;Komplikationen im Zusammenhang mit künstlicher Befruchtung
N99;Krankheiten des Urogenitalsystems iatrogen […];Krankheiten des Urogenitalsystems nach medizinischen Maßnahmen, anderenorts nicht klassifiziert
O00;Extrauteringravidität
O01;Blasenmole
O02;Sonstige abnorme Konzeptionsprodukte
O03;Spontanabort
O04;Ärztlich eingeleiteter Abort
O05;Sonstiger Abort
O06;Nicht näher bezeichneter Abort
O07;Misslungene Aborteinleitung
O08;Komplikationen nach Abort, EUG und Molenschwangerschaft;Komplikationen nach Abort, Extrauteringravidität und Molenschwangerschaft
O09;Schwangerschaftsdauer
O10;Vorbestehende aHT, die Schwangersch. Geburt und Wochenb.;Vorher bestehende Hypertonie, die Schwangerschaft, Geburt und Wochenbett kompliziert
O11;Chronische Hypertonie mit aufgepfropfter Präeklampsie
O12;Gestationsödeme & -proteinurie [durch Schwanger.] ohne aHT;Gestationsödeme und Gestationsproteinurie [schwangerschaftsinduziert] ohne Hypertonie
O13;Gestationshypertonie [schwangerschaftsinduzierte aHT];Gestationshypertonie [schwangerschaftsinduzierte Hypertonie]
O14;Präeklampsie
O15;Eklampsie
O16;Nicht näher bezeichnete Hypertonie der Mutter
O20;Blutung in der Frühschwangerschaft
O21;Übermäßiges Erbrechen während der Schwangerschaft
O22;Venenkrankh. & Hämorrho. als Komplikationen in der Schwang.;Venenkrankheiten und Hämorrhoiden als Komplikationen in der Schwangerschaft
O23;Infektionen des Urogenitaltraktes in der Schwangerschaft
O24;Diabetes mellitus in der Schwangerschaft
O25;Fehl- und Mangelernährung in der Schwangerschaft
O26;Betreuung der Mutter bei sonst. Zust. in Schwang.;Betreuung der Mutter bei sonstigen Zuständen, die vorwiegend mit der Schwangerschaft verbunden sind
O28;Abnorme Befunde bei pränat. Screeningunt. der Mutter;Abnorme Befunde bei der Screeninguntersuchung der Mutter zur pränatalen Diagnostik 
O29;Komplikationen bei Anästhesie in der Schwangerschaft
O30;Mehrlingsschwangerschaft
O31;Spez. Komplikationen einer Mehrlingsschwangerschaft;Komplikationen, die für eine Mehrlingsschwangerschaft spezifisch sind 
O32;Mütterl. Betreu. bei gesichert./fragl. Lage-/Einstell.anom.;Betreuung der Mutter bei festgestellter oder vermuteter Lage- und Einstellungsanomalie des Fetus
O33;Mütterl. Betreu. gesichert./fragl. Missverh. Fetus/Becken;Betreuung der Mutter bei festgestelltem oder vermutetem Missverhältnis zwischen Fetus und Becken
O34;Mütterl. Betreu. gesichert./fragl. anomale Beckenorgane;Betreuung der Mutter bei festgestellter oder vermuteter Anomalie der Beckenorgane
O35;Mütterl. Betreu. gesichert./fragl. fetal. Anomalie/Schaden;Betreuung der Mutter bei festgestellter oder vermuteter Anomalie oder Schädigung des Fetus
O36;Mütterl. Betreu. gesichert./fragl. fetal. sonst. Komplikat.;Betreuung der Mutter wegen sonstiger festgestellter oder vermuteter Komplikationen beim Fetus
O40;Polyhydramnion
O41;Sonstige Veränderungen des Fruchtwassers und der Eihäute
O42;Vorzeitiger Blasensprung
O43;Pathologische Zustände der Plazenta
O44;Placenta praevia
O45;Vorzeitige Plazentalösung [Abruptio placentae]
O46;Präpartale Blutung, anderenorts nicht klassifiziert
O47;Frustrane Kontraktionen [Unnütze Wehen]
O48;Übertragene Schwangerschaft
O60;Vorzeitige Wehen und Entbindung
O61;Misslungene Geburtseinleitung
O62;Abnorme Wehentätigkeit
O63;Protrahierte Geburt
O64;Geburtshinder. [fetale Lage-, Haltungs- & Einstellungsanom.];Geburtshindernis durch Lage-, Haltungs- und Einstellungsanomalien des Fetus 
O65;Geburtshindernis durch Anomalie des mütterlichen Beckens
O66;Sonstiges Geburtshindernis
O67;Komplikat. bei Wehen & Entbind. durch intrapart. Blutung […];Komplikationen bei Wehen und Entbindung durch intrapartale Blutung, anderenorts nicht klassifiziert
O68;Komplikat. bei Wehen & Entbindung durch fetalen Distress;Komplikationen bei Wehen und Entbindung durch fetalen Distress [fetal distress] [fetaler Gefahrenzustand] 
O69;Komplikat. bei Wehen und Entbindung durch Nabelschnurkompl.;Komplikationen bei Wehen und Entbindung durch Nabelschnurkomplikationen
O70;Dammriss unter der Geburt
O71;Sonstige Verletzungen unter der Geburt
O72;Postpartale Blutung
O73;Retention der Plazenta und der Eihäute ohne Blutung
O74;Anästhesiolog. Komplikat. beim Wehen/Entbindung;Komplikationen bei Anästhesie während der Wehentätigkeit und bei der Entbindung
O75;Sonstige Komplikat. beim Wehen/Entbindung […];Sonstige Komplikationen bei Wehentätigkeit und Entbindung, anderenorts nicht klassifiziert
O80;Spontangeburt eines Einlings
O81;Geburt eines Einlings durch Zangen- oder Vakuumextr.;Geburt eines Einlings durch Zangen- oder Vakuumextraktion
O82;Geburt eines Einlings durch Sectio caesaria;Geburt eines Einlings durch Schnittentbindung [Sectio caesarea]
O85;Puerperalfieber
O86;Sonstige Wochenbettinfektionen
O87;Komplikat. Venenkrankh./Hämorrhoiden im Wochenbett;Venenkrankheiten und Hämorrhoiden als Komplikationen im Wochenbett
O88;Embolie während der Gestationsperiode
O89;Komplikationen bei Anästhesie im Wochenbett
O90;Wochenbettkomplikationen, anderenorts nicht klassifiziert
O91;Infekt. der Mamma im Zusammenhang mit der Gestation;Infektionen der Mamma [Brustdrüse] im Zusammenhang mit der Gestation
O92;Sonst. Krankh. der Mamma durch Gestation/Laktationsst.;Sonstige Krankheiten der Mamma [Brustdrüse] im Zusammenhang mit der Gestation und Laktationsstörungen
O94;Folgen von Komplikationen während Schwangerschaft, Geburt und Wochenbett
O95;Tod während der Gestationsperiode […];Sterbefall während der Gestationsperiode nicht näher bezeichneter Ursache
O96;Tod durch gestationsbed. Ursache >42d bis <1y postnat.;Tod infolge jeder gestationsbedingten Ursache nach mehr als 42 Tagen bis unter einem Jahr nach der Entbindung
O97;Tod an den Folgen gestationsbedingter Ursachen
O98;Infekt./parasit. mütterl. Krankh. [sek.]prä-/peri-/postnat.;Infektiöse und parasitäre Krankheiten der Mutter, die anderenorts klassifizierbar sind, die jedoch Schwangerschaft, Geburt und Wochenbett komplizieren
O99;Sonst. mütterl. Krankh., die prä-/peri-/postnat. kompliz.;Sonstige Krankheiten der Mutter, die anderenorts klassifizierbar sind, die jedoch Schwangerschaft, Geburt und Wochenbett komplizieren
P00;Schädig. Fetus/Neonatus durch mütterl. nicht perinat. Zust.;Schädigung des Fetus und Neugeborenen durch Zustände der Mutter, die zur vorliegenden Schwangerschaft keine Beziehung haben müssen
P01;Schädig. Fetus/Neonatus durch mütterl. Komplikationen;Schädigung des Fetus und Neugeborenen durch mütterliche Schwangerschaftskomplikationen
P02;Schädig. Fetus/Neonatus durch Komplik. der secundinae;Schädigung des Fetus und Neugeborenen durch Komplikationen von Plazenta, Nabelschnur und Eihäuten
P03;Schädig. Fetus/Neonatus durch sonst. Geburtskomplik.;Schädigung des Fetus und Neugeborenen durch sonstige Komplikationen bei Wehen und Entbindung
P04;Schädig. Fetus/Neonatus per transplazent./Muttermilch- Noxen;Schädigung des Fetus und Neugeborenen durch Noxen, die transplazentar oder mit der Muttermilch übertragen werden
P05;Intrauterine Mangelentwicklung und fetale Mangelernährung
P07;Störungen durch kurze Schwangerschaft & niedr. Geburtsgew.;Störungen im Zusammenhang mit kurzer Schwangerschaftsdauer und niedrigem Geburtsgewicht, anderenorts nicht klassifiziert
P08;Störungen durch lange Schwangerschaft & hohes Geburtsgew.;Störungen im Zusammenhang mit langer Schwangerschaftsdauer und hohem Geburtsgewicht
P10;Intrakranielle Verletzung & Blutung durch Geburtsverletzung;Intrakranielle Verletzung und Blutung durch Geburtsverletzung
P11;Sonstige Geburtsverletzungen des Zentralnervensystems
P12;Geburtsverletzung der behaarten Kopfhaut
P13;Geburtsverletzung des Skeletts
P14;Geburtsverletzung des peripheren Nervensystems
P15;Sonstige Geburtsverletzungen
P20;Intrauterine Hypoxie
P21;Asphyxie unter der Geburt
P22;Atemnot [Respiratory distress] beim Neugeborenen
P23;Angeborene Pneumonie
P24;Aspirationssyndrome beim Neugeborenen
P25;Interstit. Emphysem & verwandte perinatale Zustände;Interstitielles Emphysem und verwandte Zustände mit Ursprung in der Perinatalperiode
P26;Lungenblutung mit Ursprung in der Perinatalperiode
P27;Chron. Atemwegskrankh. mit Ursprung in der Perinatalperiode;Chronische Atemwegskrankheit mit Ursprung in der Perinatalperiode
P28;Sonst. Störungen d. Atmung perinatal;Sonstige Störungen der Atmung mit Ursprung in der Perinatalperiode
P29;Kardiovaskuläre Krankheiten perinatal;Kardiovaskuläre Krankheiten mit Ursprung in der Perinatalperiode
P35;Angeborene Viruskrankheiten
P36;Bakterielle Sepsis beim Neugeborenen
P37;Sonstige angeborene infektiöse und parasitäre Krankheiten
P38;Omphalitis beim Neugeborenen mit oder ohne leichte Blutung
P39;Sonstige perinatalspezifische Infektionen;Sonstige Infektionen, die für die Perinatalperiode spezifisch sind
P50;Fetaler Blutverlust
P51;Nabelblutung beim Neugeborenen
P52;Intrakran. nichttraumatische Blutung beim Fetus & Neugeb.;Intrakranielle nichttraumatische Blutung beim Fetus und Neugeborenen
P53;Hämorrhagische Krankheit beim Fetus und Neugeborenen
P54;Sonstige Blutungen beim Neugeborenen
P55;Hämolytische Krankheit beim Fetus und Neugeborenen
P56;Hydrops fetalis durch hämolytische Krankheit
P57;Kernikterus
P58;Neugeborenenikterus durch sonstige gesteigerte Hämolyse
P59;Neugeborenenikterus durch sonstige und n.n.bez. Ursachen;Neugeborenenikterus durch sonstige und nicht näher bezeichnete Ursachen
P60;Disseminierte intravas. Gerinnung beim Fetus & Neugeborenen;Disseminierte intravasale Gerinnung beim Fetus und Neugeborenen
P61;Sonstige hämatologische Krankheiten in der Perinatalperiode
P70;Kurze KH-stoffwechselstör., fetal-/neonatnusspezifisch;Transitorische Störungen des Kohlenhydratstoffwechsels, die für den Fetus und das Neugeborene spezifisch sind
P71;Kurze Störungen des Ca- & Mg-stoffwechsels beim Neugeborenen;Transitorische Störungen des Kalzium- und Magnesiumstoffwechsels beim Neugeborenen
P72;Sonst. transitorische endokrine Krankheiten d. Neugeborenen;Sonstige transitorische endokrine Krankheiten beim Neugeborenen
P74;Sonst. kurze Stör. d. neonatalen Elektrolyte & Stoffwechsels;Sonstige transitorische Störungen des Elektrolythaushaltes und des Stoffwechsels beim Neugeborenen
P75;Mekoniumileus bei zystischer Fibrose E84.1
P76;Sonstiger Darmverschluss beim Neugeborenen
P77;Enterocolitis necroticans beim Fetus und Neugeborenen
P78;Sonstige perinatale Krankheiten des Verdauungssystems;Sonstige Krankheiten des Verdauungssystems in der Perinatalperiode
P80;Hypothermie beim Neugeborenen
P81;Sonstige Störungen d. Temperaturregulation beim Neugeborenen;Sonstige Störungen der Temperaturregulation beim Neugeborenen
P83;Sonst. spezif. fetal-/neonatale Krankh. Hautbeteilig.;Sonstige Krankheitszustände mit Beteiligung der Haut, die für den Fetus und das Neugeborene spezifisch sind
P90;Krämpfe beim Neugeborenen
P91;Sonstige zerebrale Störungen beim Neugeborenen
P92;Ernährungsprobleme beim Neugeborenen
P93;Fetale/neonatale Reakt. & Intoxik. durch Arzneimittel/Drogen;Reaktionen und Intoxikationen durch Arzneimittel oder Drogen, die dem Fetus und Neugeborenen verabreicht wurden
P94;Störungen des Muskeltonus beim Neugeborenen
P95;Fetaltod nicht näher bezeichneter Ursache
P96;Sonstige Zustände, perinatalen Ursprungs;Sonstige Zustände, die ihren Ursprung in der Perinatalperiode haben
Q00;Anenzephalie und ähnliche Fehlbildungen
Q01;Enzephalozele
Q02;Mikrozephalie
Q03;Angeborener Hydrozephalus
Q04;Sonstige angeborene Fehlbildungen des Gehirns
Q05;Spina bifida
Q06;Sonstige angeborene Fehlbildungen des Rückenmarks
Q07;Sonstige angeborene Fehlbildungen des Nervensystems
Q10;Angeb. Fehlbildungen des Augenlides/Tränenapparates/Orbita;Angeborene Fehlbildungen des Augenlides, des Tränenapparates und der Orbita
Q11;Anophthalmus, Mikrophthalmus und Makrophthalmus
Q12;Angeborene Fehlbildungen der Linse
Q13;Angeborene Fehlbildungen des vorderen Augenabschnittes
Q14;Angeborene Fehlbildung des hinteren Augenabschnittes
Q15;Sonstige angeborene Fehlbildungen des Auges
Q16;Angeb. Fehlbildungen des Ohres, mit Hörminderung;Angeborene Fehlbildungen des Ohres, die eine Beeinträchtigung des Hörvermögens verursachen
Q17;Sonstige angeborene Fehlbildungen des Ohres
Q18;Sonst. angeborene Fehlbildungen des Gesichtes & des Halses;Sonstige angeborene Fehlbildungen des Gesichtes und des Halses
Q20;Angeb. Fehlbild. d. Herzhöhlen & verbindender Strukturen;Angeborene Fehlbildungen der Herzhöhlen und verbindender Strukturen
Q21;Angeborene Fehlbildungen der Herzsepten
Q22;Angeb. Fehlbildungen d. Pulmonal- & der Trikuspidalklappe;Angeborene Fehlbildungen der Pulmonal- und der Trikuspidalklappe
Q23;Angeborene Fehlbildungen der Aorten- und der Mitralklappe
Q24;Sonstige angeborene Fehlbildungen des Herzens
Q25;Angeborene Fehlbildungen der großen Arterien
Q26;Angeborene Fehlbildungen der großen Venen
Q27;Sonst. angeborene Fehlbildungen des peripheren Gefäßsystems;Sonstige angeborene Fehlbildungen des peripheren Gefäßsystems
Q28;Sonstige angeborene Fehlbildungen des Kreislaufsystems
Q30;Angeborene Fehlbildungen der Nase
Q31;Angeborene Fehlbildungen des Kehlkopfes
Q32;Angeborene Fehlbildungen der Trachea und der Bronchien
Q33;Angeborene Fehlbildungen der Lunge
Q34;Sonstige angeborene Fehlbildungen des Atmungssystems
Q35;Gaumenspalte
Q36;Lippenspalte
Q37;Gaumenspalte mit Lippenspalte
Q38;Sonst. angeborene Fehlbildungen Zunge/Mund/Rachen;Sonstige angeborene Fehlbildungen der Zunge, des Mundes und des Rachens
Q39;Angeborene Fehlbildungen des Ösophagus
Q40;Sonst. angeborene Fehlbildungen des oberen Verdauungstraktes;Sonstige angeborene Fehlbildungen des oberen Verdauungstraktes
Q41;Angeborene(s) Fehlen, Atresie und Stenose des Dünndarmes
Q42;Angeborene(s) Fehlen, Atresie und Stenose des Dickdarmes
Q43;Sonstige angeborene Fehlbildungen des Darmes
Q44;Angeborene Fehlbildungen Gallenblase/Gallengänge/Leber;Angeborene Fehlbildungen der Gallenblase, der Gallengänge und der Leber
Q45;Sonstige angeborene Fehlbildungen des Verdauungssystems
Q50;Angeb. Fehlbildungen Ovarien/Tubae uterinae/Ligg. lata uteri;Angeborene Fehlbildungen der Ovarien, der Tubae uterinae und der Ligg. lata uteri
Q51;Angeborene Fehlbildungen des Uterus und der Cervix uteri
Q52;Sonst. angeborene Fehlbildungen der weibl. Genitalorgane;Sonstige angeborene Fehlbildungen der weiblichen Genitalorgane
Q53;Nondescensus testis
Q54;Hypospadie
Q55;Sonst. angeborene Fehlbildungen der männl. Genitalorgane;Sonstige angeborene Fehlbildungen der männlichen Genitalorgane
Q56;Unbestimmtes Geschlecht und Pseudohermaphroditismus
Q60;Nierenagenesie und sonstige Reduktionsdefekte der Niere
Q61;Zystische Nierenkrankheit
Q62;Angeb. obstruktive Nierenbeckendefekte & Uterusfehlbildungen;Angeborene obstruktive Defekte des Nierenbeckens und angeborene Fehlbildungen des Ureters
Q63;Sonstige angeborene Fehlbildungen der Niere
Q64;Sonstige angeborene Fehlbildungen des Harnsystems
Q65;Angeborene Deformitäten der Hüfte
Q66;Angeborene Deformitäten der Füße
Q67;Angeb. Muskel-Skelett-Deform. Kopf/Gesicht/Wirbels./Thorax;Angeborene Muskel-Skelett-Deformitäten des Kopfes, des Gesichtes, der Wirbelsäule und des Thorax
Q68;Sonstige angeborene Muskel-Skelett-Deformitäten
Q69;Polydaktylie
Q70;Syndaktylie
Q71;Reduktionsdefekte der oberen Extremität
Q72;Reduktionsdefekte der unteren Extremität
Q73;Reduktionsdefekte nicht näher bezeichneter Extremität(en)
Q74;Sonstige angeborene Fehlbildungen der Extremität(en)
Q75;Sonst. angeb. Fehlbildungen Schädel-/Gesichtsschädelknochen;Sonstige angeborene Fehlbildungen der Schädel- und Gesichtsschädelknochen
Q76;Angeb. Fehlbildungen d. Wirbelsäule & des knöchernen Thorax;Angeborene Fehlbildungen der Wirbelsäule und des knöchernen Thorax
Q77;Osteochondrodysplasie mit Wachstumsst. Röhrenkn./Wirbelsäule;Osteochondrodysplasie mit Wachstumsstörungen der Röhrenknochen und der Wirbelsäule
Q78;Sonstige Osteochondrodysplasien
Q79;Angeborene Fehlbildungen des Muskel-Skelett-Systems;Angeborene Fehlbildungen des Muskel-Skelett-Systems, anderenorts nicht klassifiziert
Q80;Ichthyosis congenita
Q81;Epidermolysis bullosa
Q82;Sonstige angeborene Fehlbildungen der Haut
Q83;Angeborene Fehlbildungen der Mamma [Brustdrüse]
Q84;Sonstige angeborene Fehlbildungen des Integumentes
Q85;Phakomatosen, anderenorts nicht klassifiziert
